age,total_hires,total_terminations,termination_rate
21,415,44,10.60
22,645,78,12.09
23,630,62,9.84
24,592,76,12.84
25,568,60,10.56
26,597,61,10.22
27,612,69,11.27
28,584,65,11.13
29,592,63,10.64
30,608,68,11.18
31,601,65,10.82
32,582,54,9.28
33,625,73,11.68
34,647,61,9.43
35,643,85,13.22
36,622,73,11.74
37,609,75,12.32
38,630,84,13.33
39,589,56,9.51
40,609,64,10.51
41,582,59,10.14
42,593,65,10.96
43,578,64,11.07
44,589,64,10.87
45,549,62,11.29
46,594,60,10.10
47,610,66,10.82
48,600,88,14.67
49,590,58,9.83
50,595,62,10.42
51,634,93,14.67
52,600,64,10.67
53,560,55,9.82
54,674,59,8.75
55,618,67,10.84
56,546,56,10.26
57,563,59,10.48
58,139,15,10.79
